,date,hour,type,天坛
2328,20140419,20,PCA,-35.29194698791658
2328,20140419,20,PM2.5,40.0
2334,20140419,21,PCA,-23.25333592026862
2334,20140419,21,PM2.5,56.0
2340,20140419,22,PCA,-27.142710106712627
2340,20140419,22,PM2.5,46.0
2346,20140419,23,PCA,-18.761651139731494
2346,20140419,23,PM2.5,55.0
2352,20140420,0,PCA,14.538993379635027
2352,20140420,0,PM2.5,82.0
2358,20140420,1,PCA,23.511983762401808
2358,20140420,1,PM2.5,86.0
2364,20140420,2,PCA,19.096905939702705
2364,20140420,2,PM2.5,73.0
2370,20140420,3,PCA,38.51746307325994
2370,20140420,3,PM2.5,90.0
2376,20140420,4,PCA,55.12145937763448
2376,20140420,4,PM2.5,104.0
2382,20140420,5,PCA,66.5329462729028
2382,20140420,5,PM2.5,112.0
2388,20140420,6,PCA,59.072345886805124
2388,20140420,6,PM2.5,96.0
2394,20140420,7,PCA,58.5944678891136
2394,20140420,7,PM2.5,91.0
2400,20140420,8,PCA,54.354945407423926
2400,20140420,8,PM2.5,98.0
2406,20140420,9,PCA,26.725971250756924
2406,20140420,9,PM2.5,71.0
2412,20140420,10,PCA,-5.346787379453298
2412,20140420,10,PM2.5,41.0
2418,20140420,11,PCA,-8.579401500385421
2418,20140420,11,PM2.5,52.0
2424,20140420,12,PCA,-47.53686795340888
2424,20140420,12,PM2.5,24.0
2430,20140420,13,PCA,-71.96678039437913
2430,20140420,13,PM2.5,16.0
2436,20140420,14,PCA,-88.53622664234997
2436,20140420,14,PM2.5,8.0
2442,20140420,15,PCA,-63.103412277250136
2442,20140420,15,PM2.5,37.0
2448,20140420,16,PCA,-54.365946747782566
2448,20140420,16,PM2.5,52.0
2454,20140420,17,PCA,-51.97626739608542
2454,20140420,17,PM2.5,47.0
2460,20140420,18,PCA,-42.807794677487344
2460,20140420,18,PM2.5,50.0
2466,20140420,19,PCA,-37.00868474892483
2466,20140420,19,PM2.5,48.0
2472,20140420,20,PCA,-29.41097411191174
2472,20140420,20,PM2.5,52.0
2478,20140420,21,PCA,-18.390725272264334
2478,20140420,21,PM2.5,63.0
2616,20140422,4,PCA,55.97231291345264
2616,20140422,4,PM2.5,93.0
2622,20140422,5,PCA,36.19857905557474
2622,20140422,5,PM2.5,72.0
2628,20140422,6,PCA,-2.4512035895406634
2628,20140422,6,PM2.5,38.0
2634,20140422,7,PCA,-10.14788839727366
2634,20140422,7,PM2.5,48.0
2640,20140422,8,PCA,-6.360574077891377
2640,20140422,8,PM2.5,55.0
2646,20140422,9,PCA,-29.573933231974763
2646,20140422,9,PM2.5,37.0
2652,20140422,10,PCA,-38.55786753602076
2652,20140422,10,PM2.5,28.0
2658,20140422,11,PCA,-48.62836840244409
2658,20140422,11,PM2.5,29.0
2664,20140422,12,PCA,-34.93183836344226
2664,20140422,12,PM2.5,49.0
2670,20140422,13,PCA,-15.787400462739711
2670,20140422,13,PM2.5,74.0
2676,20140422,14,PCA,-36.921659470683295
2676,20140422,14,PM2.5,54.0
2682,20140422,15,PCA,-49.0924537726245
2682,20140422,15,PM2.5,38.0
2688,20140422,16,PCA,-41.45776084497033
2688,20140422,16,PM2.5,47.5
2694,20140422,18,PCA,-33.823067917316216
2694,20140422,18,PM2.5,57.0
2700,20140422,19,PCA,-20.038120829897565
