,date,hour,type,云岗
1314,20140412,19,PM2.5,92.0
1320,20140412,20,PCA,39.263504309764464
1320,20140412,20,PM2.5,100.0
1326,20140412,21,PCA,58.534644454939716
1326,20140412,21,PM2.5,111.0
1332,20140412,22,PCA,59.75220155523364
1332,20140412,22,PM2.5,114.0
1338,20140412,23,PCA,73.74444068227322
1338,20140412,23,PM2.5,124.0
1344,20140413,0,PCA,111.56125259830812
1344,20140413,0,PM2.5,150.0
1350,20140413,1,PCA,98.31992348076011
1350,20140413,1,PM2.5,143.0
1356,20140413,2,PCA,89.84367710204425
1356,20140413,2,PM2.5,136.0
1362,20140413,3,PCA,92.86582690657868
1362,20140413,3,PM2.5,137.0
1368,20140413,4,PCA,99.65463568352823
1368,20140413,4,PM2.5,141.0
1374,20140413,5,PCA,110.78441259088565
1374,20140413,5,PM2.5,150.0
1380,20140413,6,PCA,112.39170060607488
1380,20140413,6,PM2.5,146.0
1386,20140413,7,PCA,99.2649195490051
1386,20140413,7,PM2.5,126.0
1392,20140413,8,PCA,95.89701646656513
1392,20140413,8,PM2.5,123.0
1398,20140413,9,PCA,111.63982993343089
1398,20140413,9,PM2.5,138.0
1404,20140413,10,PCA,124.91898387527768
1404,20140413,10,PM2.5,159.0
1410,20140413,11,PCA,130.747150919432
1410,20140413,11,PM2.5,166.0
1416,20140413,12,PCA,141.9714180584638
1416,20140413,12,PM2.5,191.0
1422,20140413,13,PCA,129.50078147596483
1422,20140413,13,PM2.5,192.0
1428,20140413,14,PCA,126.63265818818061
1428,20140413,14,PM2.5,192.0
1434,20140413,15,PCA,123.62403087589203
1434,20140413,15,PM2.5,184.0
1440,20140413,16,PCA,112.58048097605928
1440,20140413,16,PM2.5,165.0
1446,20140413,17,PCA,99.69294488796865
1446,20140413,17,PM2.5,142.0
1452,20140413,18,PCA,103.74603515085347
1452,20140413,18,PM2.5,144.0
1458,20140413,19,PCA,113.82200429319774
1458,20140413,19,PM2.5,150.0
1464,20140413,20,PCA,125.0448296160397
1464,20140413,20,PM2.5,155.0
1470,20140413,21,PCA,172.9135480867816
1470,20140413,21,PM2.5,207.0
1476,20140413,22,PCA,177.58256522754223
1476,20140413,22,PM2.5,192.0
1482,20140413,23,PCA,188.64368450395125
1482,20140413,23,PM2.5,211.0
1488,20140414,0,PCA,197.7981306839451
1488,20140414,0,PM2.5,216.0
1494,20140414,1,PCA,244.20904413732694
1494,20140414,1,PM2.5,267.0
1500,20140414,2,PCA,267.38181398691967
1500,20140414,2,PM2.5,286.0
1506,20140414,3,PCA,215.5351349898184
1506,20140414,3,PM2.5,211.0
1512,20140414,4,PCA,225.10762602002558
1512,20140414,4,PM2.5,217.0
1518,20140414,5,PCA,244.99769974382477
1518,20140414,5,PM2.5,240.0
1524,20140414,6,PCA,254.38127543831817
1524,20140414,6,PM2.5,252.0
1530,20140414,7,PCA,262.7392337654981
1530,20140414,7,PM2.5,262.0
1536,20140414,8,PCA,269.6225507375319
1536,20140414,8,PM2.5,268.0
1542,20140414,9,PCA,278.1390092611179
1542,20140414,9,PM2.5,278.0
1548,20140414,10,PCA,276.89398030159344
1548,20140414,10,PM2.5,285.0
1554,20140414,11,PCA,279.5620051326518
1554,20140414,11,PM2.5,291.0
1560,20140414,12,PCA,285.4725489868479
1560,20140414,12,PM2.5,300.0
1566,20140414,13,PCA,292.83667767442057
1566,20140414,13,PM2.5,307.0
1572,20140414,14,PCA,276.1478358595743
1572,20140414,14,PM2.5,293.0
1578,20140414,15,PCA,237.49130701527938
1578,20140414,15,PM2.5,244.0
1584,20140414,16,PCA,212.3504960596118
1584,20140414,16,PM2.5,208.0
1590,20140414,17,PCA,214.8561720185263
1590,20140414,17,PM2.5,206.0
1596,20140414,18,PCA,201.61912120246205
1596,20140414,18,PM2.5,184.0
1602,20140414,19,PCA,251.86645455138955
1602,20140414,19,PM2.5,248.0
1608,20140414,20,PCA,268.46183679641655
1608,20140414,20,PM2.5,256.0
1614,20140414,21,PCA,263.6459079130149
1614,20140414,21,PM2.5,246.0
1620,20140414,22,PCA,160.8022954633872
1620,20140414,22,PM2.5,100.0
1626,20140414,23,PCA,113.94374141740605
1626,20140414,23,PM2.5,36.0
1632,20140415,0,PCA,123.04174580037534
1632,20140415,0,PM2.5,54.0
1638,20140415,1,PCA,114.17030116595099
1638,20140415,1,PM2.5,52.0
1644,20140415,2,PCA,107.22726760757791
1644,20140415,2,PM2.5,52.0
1650,20140415,3,PCA,105.7484625520421
1650,20140415,3,PM2.5,55.0
1656,20140415,4,PCA,110.4035039624587
1656,20140415,4,PM2.5,65.0
1662,20140415,5,PCA,113.91523920326634
1662,20140415,5,PM2.5,74.0
1818,20140416,7,PCA,1.3499712125914565
1818,20140416,7,PM2.5,54.0
1824,20140416,8,PCA,4.580663688431552
1824,20140416,8,PM2.5,58.0
1830,20140416,9,PCA,-11.461022586337641
1830,20140416,9,PM2.5,43.0
1836,20140416,10,PCA,-17.49646212170928
1836,20140416,10,PM2.5,48.0
1842,20140416,11,PCA,-23.06698631070291
1842,20140416,11,PM2.5,47.0
1848,20140416,12,PCA,-40.07208693949407
1848,20140416,12,PM2.5,37.0
1854,20140416,13,PCA,-39.844115371587826
1854,20140416,13,PM2.5,42.0
1860,20140416,14,PCA,-38.80452847605388
1860,20140416,14,PM2.5,44.0
1866,20140416,15,PCA,-51.62124311146851
1866,20140416,15,PM2.5,35.0
1872,20140416,16,PCA,-53.82376229610126
1872,20140416,16,PM2.5,32.0
1878,20140416,17,PCA,-44.584931059432286
1878,20140416,17,PM2.5,43.0
1884,20140416,18,PCA,-38.55745134648461
1884,20140416,18,PM2.5,48.0
1890,20140416,19,PCA,-37.653942250295394
1890,20140416,19,PM2.5,42.0
1896,20140416,20,PCA,-20.107848145923562
1896,20140416,20,PM2.5,52.0
1902,20140416,21,PCA,-12.52099631050741
1902,20140416,21,PM2.5,57.0
1908,20140416,22,PCA,11.27972613296299
1908,20140416,22,PM2.5,79.0
1914,20140416,23,PCA,51.640764462650196
1914,20140416,23,PM2.5,91.0
1920,20140417,0,PCA,59.4833309608063
1920,20140417,0,PM2.5,87.0
1926,20140417,1,PCA,67.23438327008118
1926,20140417,1,PM2.5,89.0
1932,20140417,2,PCA,72.958183453586
1932,20140417,2,PM2.5,91.0
1938,20140417,3,PCA,69.06176204318122
1938,20140417,3,PM2.5,92.0
1944,20140417,4,PCA,70.46600095865276
1944,20140417,4,PM2.5,79.0
1950,20140417,5,PCA,35.30743393601729
1950,20140417,5,PM2.5,53.0
1956,20140417,6,PCA,24.399296950233367
1956,20140417,6,PM2.5,56.0
1962,20140417,7,PCA,26.105453263221857
1962,20140417,7,PM2.5,71.0
1968,20140417,8,PCA,-6.9113947148332375
1968,20140417,8,PM2.5,61.0
1974,20140417,9,PCA,14.661221944711144
1974,20140417,9,PM2.5,80.0
1980,20140417,10,PCA,24.8295349524108
1980,20140417,10,PM2.5,83.0
1998,20140417,13,PCA,-4.35993343134772
1998,20140417,13,PM2.5,53.0
2004,20140417,14,PCA,39.60642958231898
2004,20140417,14,PM2.5,108.0
2010,20140417,15,PCA,51.92973195747883
2010,20140417,15,PM2.5,116.0
2016,20140417,16,PCA,33.770772397182576
2016,20140417,16,PM2.5,95.0
2022,20140417,17,PCA,33.13902252572041
2022,20140417,17,PM2.5,85.0
2028,20140417,18,PCA,32.60764261830322
2028,20140417,18,PM2.5,88.0
2034,20140417,19,PCA,38.777177798916334
2034,20140417,19,PM2.5,98.0
2040,20140417,20,PCA,59.86033761441377
2040,20140417,20,PM2.5,120.0
2046,20140417,21,PCA,65.36892333392107
2046,20140417,21,PM2.5,117.0
2052,20140417,22,PCA,84.80678203672548
2052,20140417,22,PM2.5,130.0
2058,20140417,23,PCA,121.59829893915206
2058,20140417,23,PM2.5,159.0
2064,20140418,0,PCA,146.63369755188813
2064,20140418,0,PM2.5,172.0
2070,20140418,1,PCA,164.3867446030718
2070,20140418,1,PM2.5,174.0
2076,20140418,2,PCA,163.79348909186362
2076,20140418,2,PM2.5,165.0
2082,20140418,3,PCA,159.36503053660195
2082,20140418,3,PM2.5,158.0
2088,20140418,4,PCA,143.53376306390481
2088,20140418,4,PM2.5,140.0
2094,20140418,5,PCA,145.2310933048137
2094,20140418,5,PM2.5,147.0
2100,20140418,6,PCA,140.0441358321548
2100,20140418,6,PM2.5,146.0
2106,20140418,7,PCA,144.32101650714753
2106,20140418,7,PM2.5,155.0
2112,20140418,8,PCA,168.83534937282855
2112,20140418,8,PM2.5,176.0
2118,20140418,9,PCA,193.13736841018994
2118,20140418,9,PM2.5,196.0
2616,20140422,4,PCA,64.53747620735106
2616,20140422,4,PM2.5,90.0
2622,20140422,5,PCA,14.400122376620892
2622,20140422,5,PM2.5,49.0
2628,20140422,6,PCA,-17.72433367009728
2628,20140422,6,PM2.5,37.0
2634,20140422,7,PCA,-35.68864078281435
2634,20140422,7,PM2.5,35.0
2640,20140422,8,PCA,-38.92196374618449
2640,20140422,8,PM2.5,41.0
2646,20140422,9,PCA,-42.383476166836786
2646,20140422,9,PM2.5,33.0
2652,20140422,10,PCA,-34.650878888463716
2652,20140422,10,PM2.5,40.0
2658,20140422,11,PCA,-27.60183261397079
2658,20140422,11,PM2.5,43.0
2664,20140422,12,PCA,-22.72517746142411
2664,20140422,12,PM2.5,53.0
2670,20140422,13,PCA,-28.24952771706867
2670,20140422,13,PM2.5,60.0
2676,20140422,14,PCA,-31.062677271932365
2676,20140422,14,PM2.5,58.0
2682,20140422,15,PCA,-31.455483402793686
2682,20140422,15,PM2.5,58.0
2688,20140422,16,PCA,-27.266177342330767
2688,20140422,16,PM2.5,58.0
2694,20140422,18,PCA,-23.076871281867863
2694,20140422,18,PM2.5,58.0
2700,20140422,19,PCA,-2.8889138739381406
2700,20140422,19,PM2.5,76.0
2706,20140422,20,PCA,-36.63543773021019
2706,20140422,20,PM2.5,37.0
2712,20140422,21,PCA,-51.301947334850055
2712,20140422,21,PM2.5,22.0
2718,20140422,22,PCA,-46.60848468655555
2718,20140422,22,PM2.5,33.0
2724,20140422,23,PCA,-30.9441566067291
2724,20140422,23,PM2.5,46.0
2730,20140423,0,PCA,4.217319574939518
2730,20140423,0,PM2.5,69.0
2736,20140423,1,PCA,17.611977070855346
2736,20140423,1,PM2.5,79.0
2742,20140423,2,PCA,12.394900724045073
2742,20140423,2,PM2.5,77.0
2748,20140423,3,PCA,19.179764777436095
2748,20140423,3,PM2.5,79.0
2754,20140423,4,PCA,37.9492247630692
2754,20140423,4,PM2.5,94.0
2760,20140423,5,PCA,42.87907533827491
2760,20140423,5,PM2.5,99.0
2766,20140423,6,PCA,59.0313945661347
2766,20140423,6,PM2.5,109.0
2772,20140423,7,PCA,80.24923297269379
2772,20140423,7,PM2.5,119.0
2778,20140423,8,PCA,96.61472505462699
2778,20140423,8,PM2.5,135.0
2784,20140423,9,PCA,117.43170763297593
2784,20140423,9,PM2.5,152.0
2790,20140423,10,PCA,137.0363822779459
2790,20140423,10,PM2.5,164.0
2796,20140423,11,PCA,148.14392112114746
2796,20140423,11,PM2.5,170.0
2802,20140423,12,PCA,162.03131119963572
2802,20140423,12,PM2.5,185.0
2808,20140423,13,PCA,189.13647073613487
2808,20140423,13,PM2.5,211.0
2814,20140423,14,PCA,183.8460140080162
2814,20140423,14,PM2.5,199.0
2820,20140423,15,PCA,165.53301825206407
2820,20140423,15,PM2.5,174.0
2826,20140423,16,PCA,169.9042193393066
2826,20140423,16,PM2.5,180.0
2832,20140423,17,PCA,168.80460029899874
2832,20140423,17,PM2.5,183.0
2838,20140423,18,PCA,139.60029839804403
2838,20140423,18,PM2.5,154.0
