,date,hour,type,通州
2136,20140418,12,PM2.5,212.0
2286,20140419,13,PCA,-19.104208500884408
2286,20140419,13,PM2.5,58.0
2292,20140419,14,PCA,-15.999944158536556
2292,20140419,14,PM2.5,65.0
2298,20140419,15,PCA,-15.359255797123257
2298,20140419,15,PM2.5,63.0
2304,20140419,16,PCA,-26.999593289886263
2304,20140419,16,PM2.5,54.0
2310,20140419,17,PCA,-47.755260474027054
2310,20140419,17,PM2.5,38.0
2316,20140419,18,PCA,-54.33661106079259
2316,20140419,18,PM2.5,43.0
2322,20140419,19,PCA,-55.65174361661757
2322,20140419,19,PM2.5,45.0
2328,20140419,20,PCA,-47.040483244588685
2328,20140419,20,PM2.5,50.0
2334,20140419,21,PCA,-3.501445576285744
2334,20140419,21,PM2.5,73.0
2340,20140419,22,PCA,20.820503888803994
2340,20140419,22,PM2.5,92.0
2346,20140419,23,PCA,38.30175595085438
2346,20140419,23,PM2.5,99.0
2352,20140420,0,PCA,70.88737565307603
2352,20140420,0,PM2.5,125.0
2358,20140420,1,PCA,95.1589405556743
2358,20140420,1,PM2.5,138.0
2364,20140420,2,PCA,115.0029133024453
2364,20140420,2,PM2.5,148.0
2370,20140420,3,PCA,99.30731899622654
2370,20140420,3,PM2.5,120.0
2376,20140420,4,PCA,86.52686763867779
2376,20140420,4,PM2.5,109.0
2382,20140420,5,PCA,121.80739682406076
2382,20140420,5,PM2.5,155.0
2388,20140420,6,PCA,91.24644458338155
2388,20140420,6,PM2.5,121.0
2394,20140420,7,PCA,61.974799772784316
2394,20140420,7,PM2.5,91.0
2400,20140420,8,PCA,48.226000393672734
2400,20140420,8,PM2.5,88.0
2406,20140420,9,PCA,25.188403721694698
2406,20140420,9,PM2.5,80.0
2412,20140420,10,PCA,-4.6700794893448005
2412,20140420,10,PM2.5,62.0
2418,20140420,11,PCA,-23.006534253410226
2418,20140420,11,PM2.5,50.0
2424,20140420,12,PCA,-49.40590095909652
2424,20140420,12,PM2.5,36.0
2430,20140420,13,PCA,-76.41269586884955
2430,20140420,13,PM2.5,19.5
2436,20140420,14,PCA,-102.40474481418232
2436,20140420,14,PM2.5,3.0
2442,20140420,15,PCA,-94.85607940714449
2442,20140420,15,PM2.5,20.0
2448,20140420,16,PCA,-93.115139863455
2448,20140420,16,PM2.5,27.0
2454,20140420,17,PCA,-82.57973529479021
2454,20140420,17,PM2.5,34.0
2460,20140420,18,PCA,-56.58836510320026
2460,20140420,18,PM2.5,59.0
2466,20140420,19,PCA,-40.43331699394246
2466,20140420,19,PM2.5,62.0
2472,20140420,20,PCA,-20.603400935325016
2472,20140420,20,PM2.5,66.0
2478,20140420,21,PCA,-13.614156346271129
2478,20140420,21,PM2.5,65.0
