,date,hour,type,密云
2304,20140419,16,PM2.5,55.0
2310,20140419,17,PCA,-15.952224501541814
2310,20140419,17,PM2.5,45.0
2316,20140419,18,PCA,-20.484062946047572
2316,20140419,18,PM2.5,40.0
2322,20140419,19,PCA,-15.090947830244945
2322,20140419,19,PM2.5,47.0
2328,20140419,20,PCA,-13.897045524053903
2328,20140419,20,PM2.5,49.0
2334,20140419,21,PCA,-6.927411077006937
2334,20140419,21,PM2.5,54.0
2340,20140419,22,PCA,-4.196277801417206
2340,20140419,22,PM2.5,51.0
2346,20140419,23,PCA,-7.565915705435159
2346,20140419,23,PM2.5,47.0
2352,20140420,0,PCA,-10.129892410180132
2352,20140420,0,PM2.5,47.0
2358,20140420,1,PCA,-0.9888368163587452
2358,20140420,1,PM2.5,57.0
2364,20140420,2,PCA,-11.801355876282026
2364,20140420,2,PM2.5,44.0
2370,20140420,3,PCA,-12.508559789943835
2370,20140420,3,PM2.5,42.0
2376,20140420,4,PCA,-16.98191951962563
2376,20140420,4,PM2.5,41.0
2382,20140420,5,PCA,-10.21441771773162
2382,20140420,5,PM2.5,55.0
2388,20140420,6,PCA,-9.360501142587475
2388,20140420,6,PM2.5,54.0
2394,20140420,7,PCA,-13.644476837431514
2394,20140420,7,PM2.5,46.0
2400,20140420,8,PCA,7.72742159078443
2400,20140420,8,PM2.5,71.0
2406,20140420,9,PCA,1.738063717787406
2406,20140420,9,PM2.5,58.0
2412,20140420,10,PCA,-6.9820185535764265
2412,20140420,10,PM2.5,54.0
2418,20140420,11,PCA,-8.734994783219195
2418,20140420,11,PM2.5,50.0
2424,20140420,12,PCA,-33.29457333239683
2424,20140420,12,PM2.5,35.0
2430,20140420,13,PCA,-51.38643869231552
2430,20140420,13,PM2.5,24.0
2436,20140420,14,PCA,-62.52684393972516
2436,20140420,14,PM2.5,13.0
2442,20140420,15,PCA,-65.2767549355066
2442,20140420,15,PM2.5,10.0
2448,20140420,16,PCA,-59.295224594074256
2448,20140420,16,PM2.5,19.5
2454,20140420,17,PCA,-52.9478279309309
2454,20140420,17,PM2.5,29.0
2460,20140420,18,PCA,-65.76224866963159
2460,20140420,18,PM2.5,11.0
2466,20140420,19,PCA,-53.736692385398094
2466,20140420,19,PM2.5,25.0
2472,20140420,20,PCA,-41.27380026175965
2472,20140420,20,PM2.5,28.0
2478,20140420,21,PCA,-34.6768774588312
2478,20140420,21,PM2.5,28.0
2616,20140422,4,PCA,-38.42429399134807
