,date,hour,type,东四环
2298,20140419,15,PCA,-43.78553058870027
2298,20140419,15,PM2.5,45.0
2304,20140419,16,PCA,-40.590405129219135
2304,20140419,16,PM2.5,52.0
2310,20140419,17,PCA,-42.3116641297505
2310,20140419,17,PM2.5,53.0
2316,20140419,18,PCA,-47.373992411597904
2316,20140419,18,PM2.5,44.0
2322,20140419,19,PCA,-62.75802614948743
2322,20140419,19,PM2.5,31.0
2328,20140419,20,PCA,-56.003932586636544
2328,20140419,20,PM2.5,38.0
2334,20140419,21,PCA,-56.54691979585713
2334,20140419,21,PM2.5,41.0
2340,20140419,22,PCA,-53.89010879756657
2340,20140419,22,PM2.5,43.0
2346,20140419,23,PCA,-38.128792946229
2346,20140419,23,PM2.5,51.0
2352,20140420,0,PCA,21.06378979352982
2352,20140420,0,PM2.5,102.0
2358,20140420,1,PCA,50.08462654988312
2358,20140420,1,PM2.5,119.0
2364,20140420,2,PCA,56.77120403884029
2364,20140420,2,PM2.5,113.0
2370,20140420,3,PCA,71.22626299494719
2370,20140420,3,PM2.5,118.0
2376,20140420,4,PCA,74.71318099291845
2376,20140420,4,PM2.5,112.0
2382,20140420,5,PCA,55.08444798933117
2382,20140420,5,PM2.5,93.0
2388,20140420,6,PCA,59.74484287033155
2388,20140420,6,PM2.5,103.0
2394,20140420,7,PCA,43.82932654062811
2394,20140420,7,PM2.5,90.0
2400,20140420,8,PCA,22.68686966200869
2400,20140420,8,PM2.5,72.0
2406,20140420,9,PCA,14.884629902728117
2406,20140420,9,PM2.5,74.0
2412,20140420,10,PCA,-15.674901514479112
2412,20140420,10,PM2.5,52.0
2418,20140420,11,PCA,-44.207819048882875
2418,20140420,11,PM2.5,34.0
2424,20140420,12,PCA,-59.40401719102168
2424,20140420,12,PM2.5,35.0
2442,20140420,15,PCA,-84.65830349386769
2442,20140420,15,PM2.5,16.0
2448,20140420,16,PCA,-74.95216321912442
2448,20140420,16,PM2.5,32.5
2454,20140420,17,PCA,-58.37313884269176
2454,20140420,17,PM2.5,49.0
2460,20140420,18,PCA,-53.53200094516237
2460,20140420,18,PM2.5,57.0
2466,20140420,19,PCA,-49.59808180597777
2466,20140420,19,PM2.5,47.0
2472,20140420,20,PCA,-46.841785671056286
2472,20140420,20,PM2.5,51.0
2478,20140420,21,PCA,-24.2205771001563
2478,20140420,21,PM2.5,70.0
2484,20140420,22,PCA,-30.247188657546467
2484,20140420,22,PM2.5,60.0
2616,20140422,4,PCA,65.51948535710557
2616,20140422,4,PM2.5,111.0
2622,20140422,5,PCA,34.772188463287954
2622,20140422,5,PM2.5,77.0
2628,20140422,6,PCA,30.95093067408945
2628,20140422,6,PM2.5,76.0
2634,20140422,7,PCA,13.385140360837196
2634,20140422,7,PM2.5,65.0
2640,20140422,8,PCA,105.62530385167896
2640,20140422,8,PM2.5,179.0
