,date,hour,type,丰台花园
2094,20140418,5,PM2.5,157.0
2100,20140418,6,PCA,149.2637679473641
2100,20140418,6,PM2.5,161.0
2106,20140418,7,PCA,140.53548919496293
2106,20140418,7,PM2.5,150.0
2112,20140418,8,PCA,165.91871823086842
2112,20140418,8,PM2.5,183.0
2118,20140418,9,PCA,177.0710368369704
2118,20140418,9,PM2.5,188.0
2124,20140418,10,PCA,166.6557298892439
2124,20140418,10,PM2.5,169.0
2130,20140418,11,PCA,169.45404763489105
2130,20140418,11,PM2.5,176.0
2136,20140418,12,PCA,190.53685184610708
2136,20140418,12,PM2.5,209.0
2142,20140418,13,PCA,191.24948551550492
2142,20140418,13,PM2.5,215.0
2148,20140418,14,PCA,202.92557279491885
2148,20140418,14,PM2.5,221.0
2154,20140418,15,PCA,182.17430534145583
2154,20140418,15,PM2.5,201.0
2160,20140418,16,PCA,167.35984105833103
2160,20140418,16,PM2.5,191.0
2166,20140418,17,PCA,167.97113127190383
2166,20140418,17,PM2.5,189.0
2172,20140418,18,PCA,170.96142122336775
2172,20140418,18,PM2.5,191.0
2178,20140418,19,PCA,138.38149774803736
2178,20140418,19,PM2.5,137.0
2184,20140418,20,PCA,92.03329909520512
2184,20140418,20,PM2.5,98.0
2190,20140418,21,PCA,42.411291941834065
2190,20140418,21,PM2.5,76.0
2196,20140418,22,PCA,4.94964157161015
2196,20140418,22,PM2.5,67.0
2202,20140418,23,PCA,-5.5614273152579194
2202,20140418,23,PM2.5,68.0
2208,20140419,0,PCA,-13.438966058845422
2208,20140419,0,PM2.5,69.0
2214,20140419,1,PCA,-20.638279104177297
2214,20140419,1,PM2.5,63.0
2220,20140419,2,PCA,-12.86008542998283
2220,20140419,2,PM2.5,66.0
2226,20140419,3,PCA,3.7003304869508558
2226,20140419,3,PM2.5,70.0
2232,20140419,4,PCA,-4.553855742682821
2232,20140419,4,PM2.5,65.0
2238,20140419,5,PCA,-24.867318676752415
2238,20140419,5,PM2.5,50.0
2244,20140419,6,PCA,-13.717708417509506
2244,20140419,6,PM2.5,61.0
2250,20140419,7,PCA,14.36751085984121
2250,20140419,7,PM2.5,80.0
2256,20140419,8,PCA,19.806334666577857
2256,20140419,8,PM2.5,84.0
2262,20140419,9,PCA,20.927835171546445
2262,20140419,9,PM2.5,81.0
2268,20140419,10,PCA,6.128634319392818
2268,20140419,10,PM2.5,70.0
2274,20140419,11,PCA,-21.588298951442756
