,date,hour,type,农展馆
1884,20140416,18,PM2.5,56.0
1890,20140416,19,PCA,-7.6335372677130575
1890,20140416,19,PM2.5,61.0
1896,20140416,20,PCA,1.183416030584404
1896,20140416,20,PM2.5,58.0
1902,20140416,21,PCA,28.143340427369154
1902,20140416,21,PM2.5,71.0
1908,20140416,22,PCA,38.22166669252333
1908,20140416,22,PM2.5,75.0
1914,20140416,23,PCA,46.87692906737003
1914,20140416,23,PM2.5,84.0
1920,20140417,0,PCA,49.54303757292604
1920,20140417,0,PM2.5,88.0
1926,20140417,1,PCA,60.02045586376331
1926,20140417,1,PM2.5,98.0
1932,20140417,2,PCA,47.844820116493395
1932,20140417,2,PM2.5,79.0
1938,20140417,3,PCA,53.40659962916323
1938,20140417,3,PM2.5,84.0
1944,20140417,4,PCA,66.76519423773684
1944,20140417,4,PM2.5,101.0
1950,20140417,5,PCA,64.7265481981607
1950,20140417,5,PM2.5,102.0
1956,20140417,6,PCA,61.937378036801114
1956,20140417,6,PM2.5,96.0
1962,20140417,7,PCA,51.57901440082635
1962,20140417,7,PM2.5,89.0
1968,20140417,8,PCA,49.040606499655574
1968,20140417,8,PM2.5,90.0
1974,20140417,9,PCA,44.10395078661283
1974,20140417,9,PM2.5,82.0
1980,20140417,10,PCA,48.3283161614522
1980,20140417,10,PM2.5,98.0
1986,20140417,11,PCA,39.13281911158336
1986,20140417,11,PM2.5,91.0
1992,20140417,12,PCA,37.94713937347294
1992,20140417,12,PM2.5,90.0
1998,20140417,13,PCA,20.707229198325457
1998,20140417,13,PM2.5,74.0
2004,20140417,14,PCA,14.286133914311257
2004,20140417,14,PM2.5,79.0
2010,20140417,15,PCA,10.620974159234313
2010,20140417,15,PM2.5,80.0
2016,20140417,16,PCA,11.051513487900664
2016,20140417,16,PM2.5,83.0
2022,20140417,17,PCA,41.816792354344045
2022,20140417,17,PM2.5,112.0
2028,20140417,18,PCA,35.52752593294674
2028,20140417,18,PM2.5,96.0
2034,20140417,19,PCA,42.44947675001264
2034,20140417,19,PM2.5,102.0
2040,20140417,20,PCA,68.06381409750547
2040,20140417,20,PM2.5,124.0
2046,20140417,21,PCA,67.25786953243033
2046,20140417,21,PM2.5,122.0
2052,20140417,22,PCA,61.86405795289662
2052,20140417,22,PM2.5,101.0
2058,20140417,23,PCA,81.62448802132815
2058,20140417,23,PM2.5,113.0
2064,20140418,0,PCA,112.84919952551057
2064,20140418,0,PM2.5,145.0
2070,20140418,1,PCA,97.36856023454438
2070,20140418,1,PM2.5,126.0
2076,20140418,2,PCA,99.0439689776576
2076,20140418,2,PM2.5,120.0
2082,20140418,3,PCA,95.74427365183871
2082,20140418,3,PM2.5,116.0
2088,20140418,4,PCA,89.96784374476194
2088,20140418,4,PM2.5,119.0
2094,20140418,5,PCA,91.82180954249978
2094,20140418,5,PM2.5,123.0
2100,20140418,6,PCA,92.19279279946392
2100,20140418,6,PM2.5,124.0
2106,20140418,7,PCA,79.26894819830775
2106,20140418,7,PM2.5,109.0
2112,20140418,8,PCA,87.51148790518718
2112,20140418,8,PM2.5,120.0
2118,20140418,9,PCA,99.56801543078572
2118,20140418,9,PM2.5,133.0
2124,20140418,10,PCA,136.77620255864667
2124,20140418,10,PM2.5,170.0
2130,20140418,11,PCA,159.59203088220377
2130,20140418,11,PM2.5,183.0
2136,20140418,12,PCA,156.3445515037007
2136,20140418,12,PM2.5,179.0
2286,20140419,13,PCA,-35.58368431025538
2286,20140419,13,PM2.5,45.0
2292,20140419,14,PCA,-42.60346471679648
2292,20140419,14,PM2.5,46.0
2298,20140419,15,PCA,-46.25734842648146
2298,20140419,15,PM2.5,43.0
2304,20140419,16,PCA,-33.79369465536353
2304,20140419,16,PM2.5,52.0
2310,20140419,17,PCA,-43.24944835351451
2310,20140419,17,PM2.5,41.0
2316,20140419,18,PCA,-38.47119310246688
2316,20140419,18,PM2.5,49.0
2322,20140419,19,PCA,-33.76032557945488
2322,20140419,19,PM2.5,50.0
2328,20140419,20,PCA,-36.68592127341889
2328,20140419,20,PM2.5,42.0
2334,20140419,21,PCA,-33.21478211553947
2334,20140419,21,PM2.5,44.0
2340,20140419,22,PCA,-25.3426353283552
2340,20140419,22,PM2.5,48.0
2346,20140419,23,PCA,-21.39417107014558
2346,20140419,23,PM2.5,56.0
2352,20140420,0,PCA,11.471221565978995
2352,20140420,0,PM2.5,79.0
2358,20140420,1,PCA,34.008932863942306
2358,20140420,1,PM2.5,92.0
2364,20140420,2,PCA,54.55106080651114
2364,20140420,2,PM2.5,104.0
2370,20140420,3,PCA,77.26755696797082
2370,20140420,3,PM2.5,119.0
2376,20140420,4,PCA,88.81995622907411
2376,20140420,4,PM2.5,124.0
2382,20140420,5,PCA,71.9336377922829
2382,20140420,5,PM2.5,98.0
2388,20140420,6,PCA,83.65112310421515
2388,20140420,6,PM2.5,112.0
2394,20140420,7,PCA,65.15192322716123
2394,20140420,7,PM2.5,96.0
2400,20140420,8,PCA,39.016798219655385
2400,20140420,8,PM2.5,74.0
2406,20140420,9,PCA,23.807050085967386
2406,20140420,9,PM2.5,75.0
2412,20140420,10,PCA,-3.1371763363475527
2412,20140420,10,PM2.5,52.0
2418,20140420,11,PCA,-32.85217163293965
2418,20140420,11,PM2.5,34.0
2424,20140420,12,PCA,-77.07974114607765
2424,20140420,12,PM2.5,3.0
2430,20140420,13,PCA,-90.5665992512713
2430,20140420,13,PM2.5,10.0
2436,20140420,14,PCA,-90.63109957223627
2436,20140420,14,PM2.5,17.0
2442,20140420,15,PCA,-83.9854295444759
2442,20140420,15,PM2.5,19.0
2448,20140420,16,PCA,-74.29226802649086
2448,20140420,16,PM2.5,33.5
2454,20140420,17,PCA,-60.46915026720463
2454,20140420,17,PM2.5,48.0
2460,20140420,18,PCA,-51.36889224519206
2460,20140420,18,PM2.5,51.0
2466,20140420,19,PCA,-41.082822802869316
2466,20140420,19,PM2.5,50.0
2472,20140420,20,PCA,-30.132746099686788
2472,20140420,20,PM2.5,56.0
2478,20140420,21,PCA,-11.844658230192534
2478,20140420,21,PM2.5,68.0
2484,20140420,22,PCA,-8.527238296812621
2484,20140420,22,PM2.5,66.0
2622,20140422,5,PCA,38.60075170360674
2622,20140422,5,PM2.5,66.0
2628,20140422,6,PCA,21.885389341088505
2628,20140422,6,PM2.5,59.0
2634,20140422,7,PCA,-0.9057447485383978
2634,20140422,7,PM2.5,46.0
2640,20140422,8,PCA,-18.923581075141815
2640,20140422,8,PM2.5,41.0
2646,20140422,9,PCA,-32.18384754851747
2646,20140422,9,PM2.5,37.0
2652,20140422,10,PCA,-46.24088777066064
2652,20140422,10,PM2.5,26.0
2658,20140422,11,PCA,-44.78188397594989
2658,20140422,11,PM2.5,35.0
2664,20140422,12,PCA,-31.21967852266558
2664,20140422,12,PM2.5,50.0
2670,20140422,13,PCA,-25.63364759910372
2670,20140422,13,PM2.5,57.0
2676,20140422,14,PCA,-26.250493738857767
