,date,hour,type,顺义
2262,20140419,9,PCA,2.000258994322772
2262,20140419,9,PM2.5,70.0
2268,20140419,10,PCA,14.186575062080179
2268,20140419,10,PM2.5,76.0
2274,20140419,11,PCA,21.09162607318414
2274,20140419,11,PM2.5,78.0
2280,20140419,12,PCA,-2.3712061959076616
2280,20140419,12,PM2.5,50.0
2286,20140419,13,PCA,-10.65023036468714
2286,20140419,13,PM2.5,45.0
2292,20140419,14,PCA,-11.811395313995513
2292,20140419,14,PM2.5,52.0
2298,20140419,15,PCA,-9.801274718420922
2298,20140419,15,PM2.5,61.0
2304,20140419,16,PCA,-13.776182420748416
2304,20140419,16,PM2.5,57.0
2310,20140419,17,PCA,-16.329243653257723
2310,20140419,17,PM2.5,55.0
2316,20140419,18,PCA,-31.876606091685456
2316,20140419,18,PM2.5,36.0
2322,20140419,19,PCA,-36.55220982160615
2322,20140419,19,PM2.5,36.0
2328,20140419,20,PCA,-20.008614943822263
2328,20140419,20,PM2.5,53.0
2334,20140419,21,PCA,-3.95836283609125
2334,20140419,21,PM2.5,70.0
2340,20140419,22,PCA,15.028287485858941
2340,20140419,22,PM2.5,77.0
2346,20140419,23,PCA,28.56096229124086
2346,20140419,23,PM2.5,80.0
2352,20140420,0,PCA,35.08626986333794
2352,20140420,0,PM2.5,85.0
2358,20140420,1,PCA,22.614992358482905
2358,20140420,1,PM2.5,69.0
2364,20140420,2,PCA,16.308509066812224
2364,20140420,2,PM2.5,65.0
2370,20140420,3,PCA,32.29632041514159
2370,20140420,3,PM2.5,86.0
2376,20140420,4,PCA,20.586763610268818
2376,20140420,4,PM2.5,74.0
2382,20140420,5,PCA,-2.0647383069485428
2382,20140420,5,PM2.5,51.0
2388,20140420,6,PCA,-0.571658287953547
2388,20140420,6,PM2.5,54.0
2394,20140420,7,PCA,2.516923103005577
2394,20140420,7,PM2.5,70.0
2400,20140420,8,PCA,-0.4785112527228547
2400,20140420,8,PM2.5,66.0
2406,20140420,9,PCA,3.409351422789546
2406,20140420,9,PM2.5,71.0
2412,20140420,10,PCA,-18.07418461212932
2412,20140420,10,PM2.5,44.0
2418,20140420,11,PCA,-19.34295082453382
2418,20140420,11,PM2.5,47.0
2424,20140420,12,PCA,-30.541155487109418
2424,20140420,12,PM2.5,41.0
2430,20140420,13,PCA,-53.63241255224291
2430,20140420,13,PM2.5,22.0
2436,20140420,14,PCA,-79.20990227267558
2436,20140420,14,PM2.5,3.0
2442,20140420,15,PCA,-80.73232209203023
2442,20140420,15,PM2.5,8.0
